"date","open","high","low","close","volume","oi"
2012-06-22,1,2,12700,9067,181568,2
2012-06-22,3,2,23769,16972,315654,1
2012-06-22,2,4,208870,208869,1209700,2
2012-06-22,9,5,848670,848669,8441100,2
2012-06-22,1,1,675,642,25645,2
2012-06-22,1,1,11800,5850,153654,1
2012-06-22,1,1,37400,59696,1823607,4
2012-06-22,1,1,4900,4675,4900,1
2012-06-22,8,5,854470,854469,15838500,2
2012-06-22,1,1,0,0,106559,1
2012-06-22,2,1,4900,-1538,195894,1
2012-06-22,1,1,15000,15000,290400,2
2012-06-22,1,2,116187,-52432,1971980,1
2012-06-22,3,1,25599,25113,395979,1
2012-06-22,1,2,28370,28369,601100,4
2012-06-22,1,3,450679,450680,15577880,4
2012-06-22,1,2,5769,-2385,121014,1
2012-06-22,1,1,6900,6900,98700,1
2012-06-22,1,1,37400,22772,801634,2
2012-06-22,3,2,28599,34194,609954,1
2012-06-22,1,2,10670,7075,233968,2
2012-06-22,1,3,13570,9920,227268,2
2012-06-22,1,4,15569,10828,155154,2
2012-06-22,1,7,59569,53308,299208,2
2012-06-22,1,5,75169,75169,3570700,5
2012-06-22,1,5,117370,118110,1405440,4
2012-06-22,1,1,15000,21321,1133621,4
2012-06-22,1,3,24800,24800,285600,1
2012-06-22,2,3,5769,11568,373148,2
2012-06-22,1,3,83035,90567,1132845,6
2012-06-22,1,4,216934,212760,2492035,4
2012-06-22,1,4,23870,26692,136835,1
2012-06-22,2,6,55569,51046,385908,2
2012-06-22,1,2,7900,2897,211254,2
2012-06-22,2,5,45767,36827,243352,1
2012-06-22,4,1,0,0,4127600,4
2012-06-22,1,3,13569,13312,153759,2
2012-06-22,2,1,375900,368758,4878100,6
2012-06-22,1,3,117770,161035,1312003,5
2012-06-22,1,5,27770,16018,29800,2
2012-06-22,1,1,52400,83091,1859587,7
2012-06-22,4,4,330469,330469,2332100,2
2012-06-22,1,3,15569,15273,311740,2
2012-06-22,1,2,5770,-720,91374,1
2012-06-22,2,1,64900,57321,504854,1
2012-06-22,3,3,29169,23523,454148,2
2012-06-22,1,2,56400,56400,1110800,4
2012-06-22,1,1,96400,96400,1489600,1
2012-06-22,3,3,29170,23523,496628,2
2012-06-22,1,2,38269,43333,302391,2
2012-06-22,1,3,10669,16975,252928,2
2012-06-22,2,1,8990,-11518,948898,2
2012-06-22,1,5,17969,14198,243588,2
2012-06-22,1,2,7000,7000,70100,1
2012-06-22,1,2,0,-3391,195748,2
2012-06-22,2,5,46869,51095,440054,1
2012-06-22,1,3,38270,38269,1400900,4
2012-06-22,1,3,17769,20386,133014,1
2012-06-22,1,3,74700,73281,1160300,4
2012-06-22,1,2,5900,5638,6900,1
2012-06-22,1,1,27500,27500,1257100,4
2012-06-22,1,1,96400,96400,1489600,1
2012-06-22,2,4,97469,97469,2120900,1
2012-06-22,1,3,74700,73281,1160300,4
2012-06-22,1,1,83414,83413,3117013,2
2012-06-22,2,3,19570,18206,504208,2
2012-06-22,2,2,4400,4400,69876,2
2012-06-22,1,1,27500,27500,965100,4
2012-06-22,2,4,20470,15378,309768,2
2012-06-22,2,2,2200,2200,34938,2
2012-06-22,2,2,94600,76163,564554,1
2012-06-22,1,1,27500,41513,1225713,3
2012-06-22,1,3,6769,-4508,7800,1
2012-06-22,1,3,115700,108552,572850,2
2012-06-22,1,1,126900,124488,1263700,6
2012-06-22,1,2,870,869,91020,1
2012-06-22,1,3,95900,124969,1518830,4
2012-06-22,2,1,55000,66816,2361416,4
2012-06-22,1,6,30669,30669,200219,1
2012-06-22,6,2,47170,57087,1353054,1
2012-06-22,1,1,24900,24426,439400,2
2012-06-22,2,5,281769,275664,4868616,4
2012-06-22,2,2,616558,416559,8092759,2
2012-06-22,1,1,10446,55849,1149947,4
2012-06-22,4,2,60834,1062,4594995,2
2012-06-22,1,7,61570,58210,542808,2
2012-06-22,2,5,19569,12589,225994,2
2012-06-22,1,5,34700,39911,205088,2
2012-06-22,3,5,44270,33677,47300,1
2012-06-22,1,2,11900,14609,77954,1
2012-06-22,1,1,24900,24426,542200,2
2012-06-22,1,5,21255,12755,22284,1
2012-06-22,1,2,56400,56400,1240200,4
2012-06-22,4,1,7900,20455,4430005,4
2012-06-22,1,5,31800,31157,242420,2
2012-06-22,1,2,5733,5571,511833,2
2012-06-22,1,2,5770,-685,98874,1
2012-06-22,2,3,123569,150057,3459235,2
2012-06-22,2,1,55000,55000,904400,2
2012-06-22,5,5,120670,120669,1472700,2
2012-06-22,1,3,5769,568,209528,2
2012-06-22,1,5,1192207,1192208,18247908,4
2012-06-22,1,3,74700,73281,1160300,4
2012-06-22,1,3,74700,73281,1160300,4
2012-06-22,1,2,12670,12429,107000,1
2012-06-22,1,3,69700,69700,1155300,4
2012-06-22,1,2,17600,20006,175068,2
2012-06-22,1,4,17240,17240,133288,4
2012-06-22,1,3,15569,18828,334754,2
2012-06-22,1,1,602400,602400,22594800,3
2012-06-22,1,3,69700,69700,1155300,4
2012-06-22,1,2,5770,-2385,91374,1
2012-06-22,1,2,5770,-5470,5800,1
2012-06-22,1,3,70959,58943,361468,2
2012-06-22,1,3,74700,73281,1160300,4
